season,week,home,away,opener,source
2026,3,Pittsburgh,Syracuse,51.0,cfbd
2026,3,Wake Forest,Miami,55.0,cfbd
2026,3,Texas Tech,Houston,53.0,cfbd
2026,3,Delaware,Coastal Carolina,57.5,cfbd
2026,3,Minnesota,Akron,49.0,cfbd
2026,3,Clemson,North Carolina,44.5,cfbd
2026,3,Iowa State,Bowling Green,46.0,cfbd
2026,3,Arkansas,Georgia,54.0,cfbd
2026,3,Kansas,Arizona State,53.0,cfbd
2026,3,Kansas State,Tulane,49.5,cfbd
2026,3,Texas State,North Texas,63.5,cfbd
2026,3,Penn State,Buffalo,47.5,cfbd
2026,3,Ohio State,Kent State,58.5,cfbd
2026,3,Wisconsin,Eastern Michigan,46.0,cfbd
2026,3,Vanderbilt,NC State,52.5,cfbd
2026,3,Central Michigan,Wyoming,39.5,cfbd
2026,3,Toledo,Temple,51.0,cfbd
2026,3,Michigan,UTEP,49.5,cfbd
2026,3,Texas A&M,Kentucky,49.0,cfbd
2026,3,Cincinnati,Miami (OH),51.0,cfbd
2026,3,Louisville,SMU,59.5,cfbd
2026,3,Rutgers,USC,57.5,cfbd
2026,3,Utah,Utah State,57.0,cfbd
2026,3,Alabama,Florida State,49.0,cfbd
2026,3,Baylor,Louisiana Tech,55.0,cfbd
2026,3,Liberty,Ball State,51.0,cfbd
2026,3,Indiana,Western Kentucky,59.5,cfbd
2026,3,Duke,Stanford,51.0,cfbd
2026,3,South Carolina,Mississippi State,58.5,cfbd
2026,3,App State,Charlotte,50.5,cfbd
2026,3,Old Dominion,East Carolina,49.5,cfbd
2026,3,Florida Atlantic,Florida International,62.5,cfbd
2026,3,Missouri State,Marshall,52.0,cfbd
2026,3,South Alabama,Ohio,52.5,cfbd
2026,3,Jacksonville State,Georgia Southern,52.5,cfbd
2026,3,Middle Tennessee,Nevada,51.0,cfbd
2026,3,UCF,Georgia State,50.5,cfbd
2026,3,Rice,Western Michigan,44.0,cfbd
2026,3,Southern Miss,UConn,54.0,cfbd
2026,3,Missouri,Troy,49.5,cfbd
2026,3,Auburn,Florida,53.0,cfbd
2026,3,Maryland,Virginia Tech,53.5,cfbd
2026,3,Northwestern,Colorado,47.0,cfbd
2026,3,Virginia,West Virginia,54.5,cfbd
2026,3,Colorado State,BYU,52.0,cfbd
2026,3,Ole Miss,LSU,58.5,cfbd
2026,3,Oklahoma,New Mexico,48.0,cfbd
2026,3,Notre Dame,Michigan State,52.0,cfbd
2026,3,Tennessee,Kennesaw State,60.0,cfbd
2026,3,TCU,Arkansas State,57.5,cfbd
2026,3,Louisiana,UAB,56.5,cfbd
2026,3,Texas,UTSA,58.0,cfbd
2026,3,San Diego State,James Madison,46.5,cfbd
2026,3,Arizona,Northern Illinois,50.0,cfbd
2026,3,Sacramento State,North Dakota State,53.0,cfbd
2026,3,San José State,Fresno State,50.5,cfbd
